2	2.
4	5.555555555555555
6	10.319999999999999
8	16.132244897959186
10	22.889896699420508
12	30.519105713910907
14	38.962807200569436
16	48.17493227656397
18	58.11713800270434
20	68.75678418970762
22	80.06559742239126
24	92.0187446415611
26	104.59416571057174
28	117.77207756760313
30	131.53459642590295
32	145.86544375819824
34	160.74971332482988
36	176.1736836827286
38	192.12466524093963
40	208.59087400353698
42	225.56132623740277
44	243.02574976467812
46	260.97450862031445
48	279.39853856906683
50	298.2892915313149
52	317.6386873816993
54	337.4390718983641
56	357.6831798809701
58	378.36410264180296
60	399.47525921994236
62	421.0103707834612
64	442.9634377762222
66	465.32871943938153
68	488.1007153972
70	511.274149045211
72	534.8439525185241
74	558.8052530508091
76	583.1533605616839
78	607.8837563329116
80	632.9920826528084
82	658.4741333242849
84	684.3258449454835
86	710.5432888834958
88	737.1226638714656
90	764.060289167799
92	791.3525982234459
94	818.9961328094546
96	846.9875375624156
98	875.3235549100998
100	904.0010203436916
